name,ratings,num_ratings,processor,ram,os,storage,price,org_price,Brand,num_reviews,ram_type,Discount
ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop,4.1,168.0,Intel Core i3 Processor (10th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,33990,50990.0,ASUS,14.0,DDR4,33.33987056285546
DELL Ryzen 3 Quad Core 5425U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Laptop,4.4,87.0,AMD Ryzen 3 Quad Core Processor,8,64 bit Windows 11 Operating System,256 GB SSD,35990,50837.0,DELL,15.0,DDR4,29.205106516906977
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVI...,4.5,193.0,AMD Ryzen 7 Octa Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,76990,90990.0,ASUS,18.0,DDR4,15.386306187493132
Lenovo Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 15IGL05 Thin and Light Laptop,4.0,100.0,Intel Celeron Dual Core Processor,8,64 bit Windows 11 Operating System,256 GB SSD,28490,40490.0,Lenovo,11.0,DDR4,29.63694739441837
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1003AU Thin and Light Laptop,4.3,208.0,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,50499,63289.0,HP,18.0,DDR4,20.208883060247437
ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop,4.1,168.0,Intel Core i3 Processor (10th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,33990,50990.0,ASUS,14.0,DDR4,33.33987056285546
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,4.3,1056.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,512 GB SSD,45827,59778.0,HP,82.0,DDR4,23.338017330790592
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,4.3,278.0,AMD Ryzen 5 Hexa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,49123,59108.0,HP,33.0,DDR4,16.892806388306152
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,4.1,732.0,Intel Celeron Quad Core Processor,4,64 bit Windows 11 Operating System,128 GB SSD,20990,29990.0,Infinix,119.0,LPDDR4X,30.01000333444481
DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Thin and Ligh...,4.2,341.0,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,1 TB HDD|256 GB SSD,41990,61202.0,DELL,31.0,DDR4,31.391131008790563
HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,4.2,328.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,40990,50585.0,HP,35.0,DDR4,18.968073539586833
RedmiBook Pro Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop,4.2,4306.0,Intel Core i3 Processor (11th Gen),8,Windows 11 Operating System,256 GB SSD,31990,51999.0,RedmiBook,506.0,DDR4,38.479586145887424
MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,4.3,112.0,Intel Core i7 Processor (11th Gen),16,64 bit Windows 10 Operating System,512 GB SSD,84990,123990.0,MSI,16.0,DDR4,31.45414952818776
HP Victus Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,4.3,441.0,Intel Core i5 Processor (12th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,63990,83039.0,HP,35.0,DDR4,22.939823456448174
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Ho...,4.4,1120.0,AMD Ryzen 5 Hexa Core Processor,8,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,52990,78990.0,ASUS,131.0,DDR4,32.91555893151032
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,4.5,741.0,AMD Ryzen 7 Octa Core Processor,16,64 bit Windows 11 Operating System,512 GB SSD,59990,82990.0,ASUS,91.0,DDR4,27.714182431618266
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,4.2,3440.0,Intel Core i3 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,41990,49509.0,HP,312.0,DDR4,15.187137692136785
DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Metal Laptop Thin and Light...,4.8,11.0,Intel Core i5 Processor (12th Gen),16,64 bit Windows 11 Operating System,512 GB SSD,67490,95332.0,DELL,0.0,DDR4,29.20530357067931
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-BQ522WS Thin and Light La...,4.3,119.0,Intel Core i5 Processor (11th Gen),8,64 bit Windows 11 Operating System,512 GB SSD,50990,69990.0,ASUS,12.0,DDR4,27.146735247892558
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,4.7,8724.0,Apple M1 Processor,8,Mac OS Operating System,256 GB SSD,86990,99900.0,APPLE,783.0,DDR4,12.922922922922922
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN...,4.3,102.0,Qualcomm Snapdragon 7c Gen 2 Processor,4,Windows 11 Operating System,,32990,47990.0,SAMSUNG,18.0,LPDDR4X,31.2565117732861
